"Warszawa","Krakow","Lodz","Wroclaw","Poznan","Gdansk","Szczecin","Bydgoszcz","Lublin","Bialystok","Katowice","Gdynia","Czestochowa","Radom","Torun","Rzeszow","Sosnowiec","Kielce","Gliwice","Olsztyn","Zabrze","Bielsko-Biala","Bytom","Zielona Gora","Rybnik","Ruda Slaska","Opole","Tychy","Gorzow Wielkopolski","Elblag","Dabrowa Gornicza","Plock","Walbrzych","Wloclawek","Tarnow","Chorzow","Koszalin","Kalisz","Legnica","Grudziadz","Jaworzno","Slupsk","Jastrzebie-Zdroj","Nowy Sacz","Jelenia Gora","Siedlce","Myslowice","Konin","Piotrkow Trybunalski","Suwalki","Siemianowice Slaskie","Leszno","Zory","Zamosc","Lomza","Chelm","Przemysl","Biala Podlaska","Piekary Slaskie","Ostroleka","Swietochlowice","Skierniewice","Tarnobrzeg","Krosno","Swinoujscie","Sopot"
0,291.2001,129.9003,356.1992,312.0702,345.1663,569.8204,305.0431,172.2929,198.3289,320.0402,441.1958,244.0808,104.7998,260.5903,329.8943,318.788,181.527,337.1163,212.8652,321.9124,377.1909,310.9874,456.2888,368.9696,319.7484,337.8381,340.2524,466.5195,282.7167,316.7059,108.9743,428.8544,209.1354,283.3488,315.3343,517.8948,250.4671,431.5088,313.6698,337.1089,539.0201,378.1766,362.3835,465.7196,96.2112,330.2586,221.6324,136.7767,291.3337,316.002,381.9387,361.1525,263.7401,147.8038,247.3851,404.1359,165.3505,307.2928,123.0435,316.4465,88.5113,230.3551,387.9785,666.4599,353.1416
291.2001,0,280.4323,271.2207,456.223,599.2931,647.7103,481.8945,329.2873,485.797,79.6664,618.0471,149.2383,196.1457,437.4417,169.4304,75.3582,115.9345,105.4199,501.5904,99.5024,121.6271,98.8372,439.5931,134.7811,90.8959,188.5789,84.6886,544.4093,646.9189,83.543,379.7825,327.0409,385.9867,83.3883,84.2334,694.7461,307.0814,329.6954,490.5211,57.786,715.8715,143.9881,111.5182,363.9062,372.3794,70.3467,398.8592,235.1084,578.8019,85.2759,374.3114,126.964,320.0785,435.272,411.5159,248.4252,458.4592,95.8191,410.5116,88.5474,334.9817,175.5844,171.3012,744.3497,616.8915
129.9003,280.4323,0,222.9072,206.2883,341.7659,464.0385,224.3674,297.4176,317.0217,205.2569,360.52,129.2975,181.7026,179.9146,448.7447,204.0047,156.2214,222.333,282.2258,207.1291,262.4075,196.2041,350.5068,254.1863,204.9651,223.0548,225.4691,360.7376,389.3918,201.9226,122.2554,295.5624,128.4596,362.7025,200.551,437.219,123.0248,298.2169,232.994,222.3256,458.3444,263.3933,390.8324,332.4276,218.3721,215.4753,115.8505,55.4421,410.0266,201.2187,276.1567,246.3692,388.8648,266.4967,372.5098,527.7395,287.5115,192.5095,241.7363,201.6632,68.5902,262.3946,450.6154,560.678,359.3644
356.1992,271.2207,222.9072,0,180.6838,486.4338,396.6288,311.2118,524.1401,543.7442,194.2366,505.1879,247.0458,408.4252,359.9943,439.2165,206.3175,357.0969,164.2357,508.9483,173.515,250.5871,189.5833,188.5116,188.8408,183.1923,98.2033,213.6486,293.3278,534.0597,213.2785,340.1136,75.9594,346.3178,353.1744,196.1183,417.5205,123.184,78.6139,393.6616,217.7287,448.9084,217.7667,381.3043,112.8247,445.0947,203.492,180.0541,248.9517,636.7491,200.3192,98.7722,200.7426,589.8646,493.2192,599.2323,518.2113,514.234,191.6572,468.4588,189.9896,295.3128,445.3705,441.0872,493.2682,504.0323
312.0702,456.223,206.2883,180.6838,0,312.7889,265.3839,137.5668,478.867,498.4711,378.6318,331.5429,337.9367,363.1521,186.3493,623.6118,390.7128,364.8606,348.631,354.3747,357.9103,434.9823,404.8433,151.8522,373.236,367.5875,282.5985,398.0438,162.0829,360.4147,410.5618,228.78,254.3363,198.3325,537.5696,380.5135,243.6204,145.6667,182.2181,220.0166,402.1239,275.0083,402.1619,565.6995,244.8647,399.8216,387.8872,104.948,264.0813,591.476,409.8578,77.5021,385.1378,570.3143,447.9461,553.9592,702.6066,468.9609,401.1486,423.1857,374.3848,250.0397,488.7074,625.4825,362.0233,330.3873
345.1663,599.2931,341.7659,486.4338,312.7889,0,356.0846,171.7203,589.1984,432.8044,524.0872,18.994,448.1278,473.4834,172.6898,767.575,522.835,475.0517,541.1633,171.7613,525.9594,581.2379,515.0344,458.818,573.0166,523.7954,541.8851,544.2994,469.0488,65.6132,520.7529,274.0861,561.3022,225.7164,681.5328,519.3813,195.5422,341.3449,489.1839,123.4135,541.1559,127.4409,582.2236,709.6627,551.8305,510.1529,534.3056,281.771,374.2724,382.8816,520.049,384.4679,565.1995,680.6456,329.9164,664.2906,846.5698,579.2922,511.3398,306.1973,520.4935,360.371,581.2249,769.4457,360.0915,12.166
569.8204,647.7103,464.0385,396.6288,265.3839,356.0846,0,260.5218,741.3282,760.9323,576.2891,355.0863,600.3979,625.6133,315.1541,821.269,588.37,627.3218,546.2882,535.8705,555.5675,632.6395,571.6358,219.3978,570.8932,565.2448,480.2558,595.7011,110.2621,429.7224,595.331,491.2412,384.8837,460.7937,735.2269,578.1708,173.8468,408.1279,322.1996,334.1473,599.7811,239.5721,599.8192,763.3568,384.8462,662.2828,585.5445,367.4092,526.5425,853.9372,582.3717,320.1871,582.7951,832.7755,710.4073,816.4204,900.2638,731.4221,573.7097,685.6469,572.0421,512.5009,751.1686,823.1397,115.8183,353.9307
305.0431,481.8945,224.3674,311.2118,137.5668,171.7203,260.5218,0,472.2567,491.8608,407.1455,188.6626,331.1861,356.5417,48.4938,650.6333,405.8933,358.1101,424.2216,211.4943,409.0178,464.2962,398.0927,282.2738,456.0749,406.8537,413.0201,427.3577,292.5046,217.5343,403.8113,157.1444,384.758,108.7748,564.5911,402.4396,192.7696,228.5097,312.6397,77.1363,424.2142,208.0441,465.2819,592.721,375.2863,393.2112,417.3639,116.1062,257.3307,413.5762,403.1073,207.9237,448.2578,563.7039,441.3358,547.3489,729.6281,462.3505,394.3981,416.5754,403.5518,243.4293,464.2832,652.504,351.1154,187.5069
172.2929,329.2873,297.4176,524.1401,478.867,589.1984,741.3282,472.2567,0,348.7885,407.2513,607.2824,410.1675,113.0523,426.677,169.5287,402.9431,197.2513,433.0047,383.7502,427.0873,449.212,426.4221,622.3754,462.366,418.4807,516.1638,412.2735,632.6062,453.6017,411.1279,299.1863,594.941,375.222,246.0878,411.8183,683.9814,416.5537,597.5955,479.7564,385.3709,705.1068,471.573,315.7216,631.8063,118.8425,397.9315,387.719,303.9695,441.7934,412.8608,548.0253,454.5489,88.5346,298.2635,72.1796,243.7703,129.6188,423.404,273.5031,416.1323,254.5979,147.0786,227.613,832.5466,606.1268
198.3289,485.797,317.0217,543.7442,498.4711,432.8044,760.9323,491.8608,348.7885,0,506.8061,461.5413,430.8467,299.3661,447.3563,506.9952,505.5539,376.0933,523.8822,225.8362,508.6784,563.9568,497.7533,643.0547,555.7355,506.5143,524.604,527.0183,653.2854,372.309,503.4719,273.5543,615.6203,395.9013,477.9151,502.1002,627.4669,437.233,618.2748,500.4357,523.8748,559.3656,564.9425,556.9499,652.4856,170.0565,517.0245,408.3983,356.9913,128.7953,502.7679,568.7046,547.9184,332.2082,80.4236,270.2326,581.2368,148.3864,494.0587,131.5373,503.2124,275.2772,484.545,565.0794,853.2258,442.734
